beta,eta,gamma,gamma_over_eta,n,repeat_id,beta_hat,eta_hat,gamma_hat,r_squared,converged,time_ms,status
2.0,1.0,0.1,0.1,20,0,1.7000619524574945,0.8089270498829693,0.40689989866477505,0.9186673758247441,True,8.845800068229437,success
2.0,1.0,0.1,0.1,20,1,1.741788435189775,0.6664645368595572,0.23555819918661464,0.8886506102712496,True,10.104200104251504,success
2.0,1.0,0.1,0.1,20,2,1.2599243749897107,0.7710263648987141,0.4025127331544124,0.8705929667469806,True,13.269499875605106,success
2.0,1.0,0.1,0.1,20,3,1.3081812024038926,0.575974754994026,0.4094013739989387,0.8428885254719714,True,7.495499914512038,success
2.0,1.0,0.1,0.1,20,4,1.6886842025068791,0.6343870039358308,0.321536976961995,0.9184281812044565,True,9.354599984362721,success
2.0,1.0,0.1,0.1,20,5,2.489796662499431,0.9991604695493221,0.0351562698014139,0.9453716524632927,True,9.038799908012152,success
2.0,1.0,0.1,0.1,20,6,2.314444911709494,1.1691821508449225,0.08016385238588783,0.9480250546691471,True,9.009000146761537,success
2.0,1.0,0.1,0.1,20,7,2.263732920501151,0.883099735763216,0.2277285187979084,0.9427496571957636,True,7.834600051864982,success
2.0,1.0,0.1,0.1,20,8,1.2800308707489085,0.7058253621761983,0.13242615424432483,0.8810783991886254,True,8.124199928715825,success
2.0,1.0,0.1,0.1,20,9,1.2295724864378776,0.6150149873622037,0.3049633384129578,0.8484118891400456,True,9.967199992388487,success
