contract,script_sha256,target,held_out_beta,n,seed,train_rows,test_rows,n_iter,prediction_contract
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,2.5,10,3407,10500,1500,52,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,2.5,15,42,10500,1500,32,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,2.5,15,2026,10500,1500,44,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,2.5,15,3407,10500,1500,42,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,2.5,15,42,10500,1500,46,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,2.5,15,2026,10500,1500,50,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,2.5,15,3407,10500,1500,42,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,2.5,20,42,10500,1500,40,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,2.5,20,2026,10500,1500,38,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,2.5,20,3407,10500,1500,39,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,2.5,20,42,10500,1500,44,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,2.5,20,2026,10500,1500,55,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,oracle_regret,2.5,20,3407,10500,1500,38,oracle-centred decision score; no clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,3.0,7,42,10500,1500,53,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,3.0,7,2026,10500,1500,67,incumbent absolute loss; nonnegative clipping
E9_target_confirmation_unseen_beta_v1,68579e017313f16e5135f1e892f393a4a71ee005159d366ce4b59097f1930785,absolute,3.0,7,3407,10500,1500,36,incumbent absolute loss; nonnegative clipping
