beta_true,eta_true,sample_size,sim_id,est_beta,est_eta,est_gamma,bias_beta,bias_eta,bias_gamma,r_squared
5,1000,10,1,2.516844,421.276831,1423.844835,-2.483156,-578.723169,423.844835,0.907154
5,1000,10,2,11.534650,2026.633039,0.000000,6.534650,1026.633039,-1000.000000,0.894647
5,1000,10,3,15.663314,2013.190200,0.000096,10.663314,1013.190200,-999.999904,0.932212
5,1000,10,4,8.737081,1954.396506,0.000017,3.737081,954.396506,-999.999983,0.884090
5,1000,10,5,11.104125,2001.937794,0.000132,6.104125,1001.937794,-999.999868,0.943358
5,1000,10,6,11.004495,1981.268972,0.000162,6.004495,981.268972,-999.999838,0.855369
5,1000,10,7,8.549233,1895.621175,0.000038,3.549233,895.621175,-999.999962,0.944480
5,1000,10,8,14.783371,2022.606090,0.000103,9.783371,1022.606090,-999.999897,0.934561
5,1000,10,9,13.105144,2057.984525,0.000333,8.105144,1057.984525,-999.999667,0.937505
5,1000,10,10,1.997299,429.241147,1582.935714,-3.002701,-570.758853,582.935714,0.842682
5,1000,10,11,2.442119,793.271993,1216.093271,-2.557881,-206.728007,216.093271,0.897436
5,1000,10,12,0.000000,0.000000,0.000000,-5.000000,-1000.000000,-1000.000000,0.000000
5,1000,10,13,1.310718,175.868995,1627.248883,-3.689282,-824.131005,627.248883,0.717595
5,1000,10,14,2.174731,655.317382,1373.282026,-2.825269,-344.682618,373.282026,0.870467
5,1000,10,15,0.000000,0.000000,0.000000,-5.000000,-1000.000000,-1000.000000,0.000000
5,1000,10,16,12.979254,1983.461803,0.000132,7.979254,983.461803,-999.999868,0.964070
5,1000,10,17,0.000000,0.000000,0.000000,-5.000000,-1000.000000,-1000.000000,0.000000
5,1000,10,18,1.861022,318.023294,1656.067292,-3.138978,-681.976706,656.067292,0.826473
5,1000,10,19,11.179646,2115.786274,0.000033,6.179646,1115.786274,-999.999967,0.970091
5,1000,10,20,9.091482,2039.536639,0.000062,4.091482,1039.536639,-999.999938,0.897097
5,1000,10,21,3.224252,597.081354,1357.843408,-1.775748,-402.918646,357.843408,0.867930
5,1000,10,22,0.000000,0.000000,0.000000,-5.000000,-1000.000000,-1000.000000,0.000000
5,1000,10,23,0.000000,0.000000,0.000000,-5.000000,-1000.000000,-1000.000000,0.000000
5,1000,10,24,0.000000,0.000000,0.000000,-5.000000,-1000.000000,-1000.000000,0.000000
5,1000,10,25,8.514864,2006.748443,0.000077,3.514864,1006.748443,-999.999923,0.775152
5,1000,10,26,13.277375,1915.916940,0.000193,8.277375,915.916940,-999.999807,0.820474
5,1000,10,27,9.341786,1907.268013,0.000000,4.341786,907.268013,-1000.000000,0.886694
5,1000,10,28,0.000000,0.000000,0.000000,-5.000000,-1000.000000,-1000.000000,0.000000
5,1000,10,29,1.246432,251.066776,1730.224499,-3.753568,-748.933224,730.224499,0.729540
5,1000,10,30,7.734668,2007.602439,0.000024,2.734668,1007.602439,-999.999976,0.945783
5,1000,10,31,3.478363,636.220367,1402.780830,-1.521637,-363.779633,402.780830,0.788444
5,1000,10,32,17.967525,2028.047139,0.000203,12.967525,1028.047139,-999.999797,0.896304
5,1000,10,33,11.846082,1893.946989,0.000032,6.846082,893.946989,-999.999968,0.908558
5,1000,10,34,11.351424,2075.830421,0.000070,6.351424,1075.830421,-999.999930,0.980765
5,1000,10,35,9.927132,2028.179002,0.000074,4.927132,1028.179002,-999.999926,0.970399
5,1000,10,36,8.775674,1954.268092,0.000081,3.775674,954.268092,-999.999919,0.780465
5,1000,10,37,12.538787,2057.663617,0.000000,7.538787,1057.663617,-1000.000000,0.742116
5,1000,10,38,2.052318,396.060310,1559.050467,-2.947682,-603.939690,559.050467,0.859885
5,1000,10,39,9.872504,1990.496958,0.000000,4.872504,990.496958,-1000.000000,0.686472
5,1000,10,40,14.503265,1982.440593,0.000074,9.503265,982.440593,-999.999926,0.949190
5,1000,10,41,13.370364,2056.174412,0.000083,8.370364,1056.174412,-999.999917,0.953780
5,1000,10,42,11.933199,1842.436717,0.000000,6.933199,842.436717,-1000.000000,0.790664
5,1000,10,43,14.774777,2021.862087,0.000064,9.774777,1021.862087,-999.999936,0.868101
5,1000,10,44,9.143107,1987.477415,0.000203,4.143107,987.477415,-999.999797,0.885481
5,1000,10,45,21.523312,1930.456573,0.000148,16.523312,930.456573,-999.999852,0.945226
5,1000,10,46,1.749337,419.561530,1478.059505,-3.250663,-580.438470,478.059505,0.831139
5,1000,10,47,0.000000,0.000000,0.000000,-5.000000,-1000.000000,-1000.000000,0.000000
5,1000,10,48,12.445091,2081.498637,0.000038,7.445091,1081.498637,-999.999962,0.949717
